"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Pakistan","PAK","Poland","POL",2010-06-20,"Presidential",29,NA,NA,28,28,28,NA,12,"KOMOROWSKI Bronislaw Maria",11,"KACZYNSKI Jaroslaw Aleksander",3,"OLECHOWSKI Andrzej Marian",2,"NAPIERALSKI Grzegorz Bernard",0,"JUREK Marek",0,"KORWIN-MIKKE Janusz Ryszard",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"PAWLAK Waldemar",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",12
"Portugal","PRT","Poland","POL",2010-06-20,"Presidential",547,NA,NA,479,474,474,NA,323,"KOMOROWSKI Bronislaw Maria",79,"KACZYNSKI Jaroslaw Aleksander",29,"NAPIERALSKI Grzegorz Bernard",17,"KORWIN-MIKKE Janusz Ryszard",16,"OLECHOWSKI Andrzej Marian",6,"JUREK Marek",2,"PAWLAK Waldemar",2,"ZIETEK Boguslaw Zbigniew",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",323
"Qatar","QAT","Poland","POL",2010-06-20,"Presidential",94,NA,NA,82,82,82,NA,54,"KOMOROWSKI Bronislaw Maria",18,"KACZYNSKI Jaroslaw Aleksander",6,"NAPIERALSKI Grzegorz Bernard",2,"KORWIN-MIKKE Janusz Ryszard",1,"OLECHOWSKI Andrzej Marian",1,"PAWLAK Waldemar",0,"JUREK Marek",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",54
"Romania","ROU","Poland","POL",2010-06-20,"Presidential",155,NA,NA,145,145,145,NA,96,"KOMOROWSKI Bronislaw Maria",28,"KACZYNSKI Jaroslaw Aleksander",9,"NAPIERALSKI Grzegorz Bernard",5,"KORWIN-MIKKE Janusz Ryszard",4,"OLECHOWSKI Andrzej Marian",1,"JUREK Marek",1,"PAWLAK Waldemar",1,"ZIETEK Boguslaw Zbigniew",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",96
"Serbia","SRB","Poland","POL",2010-06-20,"Presidential",120,NA,NA,120,118,118,NA,81,"KOMOROWSKI Bronislaw Maria",24,"KACZYNSKI Jaroslaw Aleksander",8,"NAPIERALSKI Grzegorz Bernard",2,"KORWIN-MIKKE Janusz Ryszard",2,"PAWLAK Waldemar",1,"JUREK Marek",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"OLECHOWSKI Andrzej Marian",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",81
"Russia","RUS","Poland","POL",2010-06-20,"Presidential",846,NA,NA,764,760,760,NA,455,"KOMOROWSKI Bronislaw Maria",145,"KACZYNSKI Jaroslaw Aleksander",78,"NAPIERALSKI Grzegorz Bernard",24,"KORWIN-MIKKE Janusz Ryszard",21,"JUREK Marek",18,"OLECHOWSKI Andrzej Marian",16,"PAWLAK Waldemar",2,"MORAWIECKI Kornel Andrzej",1,"LEPPER Andrzej Zbigniew",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",455
"Saudi Arabia","SAU","Poland","POL",2010-06-20,"Presidential",41,NA,NA,35,35,35,NA,24,"KOMOROWSKI Bronislaw Maria",7,"KACZYNSKI Jaroslaw Aleksander",3,"KORWIN-MIKKE Janusz Ryszard",1,"NAPIERALSKI Grzegorz Bernard",0,"JUREK Marek",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"OLECHOWSKI Andrzej Marian",0,"PAWLAK Waldemar",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",24
"Sweden","SWE","Poland","POL",2010-06-20,"Presidential",3776,NA,NA,3330,3318,3318,NA,1904,"KOMOROWSKI Bronislaw Maria",982,"KACZYNSKI Jaroslaw Aleksander",241,"NAPIERALSKI Grzegorz Bernard",75,"KORWIN-MIKKE Janusz Ryszard",65,"OLECHOWSKI Andrzej Marian",19,"PAWLAK Waldemar",16,"JUREK Marek",11,"LEPPER Andrzej Zbigniew",3,"ZIETEK Boguslaw Zbigniew",2,"MORAWIECKI Kornel Andrzej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",1904
"Singapore","SGP","Poland","POL",2010-06-20,"Presidential",170,NA,NA,147,145,145,NA,95,"KOMOROWSKI Bronislaw Maria",22,"KACZYNSKI Jaroslaw Aleksander",10,"NAPIERALSKI Grzegorz Bernard",9,"KORWIN-MIKKE Janusz Ryszard",4,"OLECHOWSKI Andrzej Marian",3,"PAWLAK Waldemar",2,"JUREK Marek",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",95
"Slovenia","SVN","Poland","POL",2010-06-20,"Presidential",243,NA,NA,220,219,219,NA,110,"KOMOROWSKI Bronislaw Maria",81,"KACZYNSKI Jaroslaw Aleksander",10,"NAPIERALSKI Grzegorz Bernard",8,"KORWIN-MIKKE Janusz Ryszard",4,"OLECHOWSKI Andrzej Marian",2,"JUREK Marek",2,"PAWLAK Waldemar",1,"MORAWIECKI Kornel Andrzej",1,"ZIETEK Boguslaw Zbigniew",0,"LEPPER Andrzej Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",110
