"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Argentina","ARG","Paraguay","PRY",2018-04-22,"Legislative",NA,183,330,5148,4635,4635,NA,1999,"PLRA",1459,"ANR",449,"FG",82,"MCC",70,"PRF",56,"UNAMONOS",54,"UNACE",43,"MPIP",43,"CN",41,"PEN",40,"PPQ",34,"PVP",30,"AP",25,"PPH",23,"MRP",23,"MUI",21,"P_MAS",19,"PDC",15,"PMPP",15,"PDP",13,"PFA",13,"MUTPY",12,"SN",11,"MNAP",11,"PJ",10,"MSPY",9,"PSDH",8,"PAS",7,"PDA","ANR",1459
"Brazil","BRA","Paraguay","PRY",2018-04-22,"Legislative",NA,1,5,120,114,114,NA,48,"PLRA",38,"ANR",6,"FG",3,"PPQ",3,"MRP",3,"CN",2,"PRF",2,"UNACE",2,"PVP",1,"PEN",1,"AP",1,"MNAP",1,"MPIP",1,"PPH",1,"PSDH",1,"PAS",0,"PDC",0,"MCC",0,"P_MAS",0,"PFA",0,"PJ",0,"SN",0,"PMPP",0,"UNAMONOS",0,"MUTPY",0,"PDP",0,"MUI",0,"MSPY",0,"PDA","ANR",38
"US","USA","Paraguay","PRY",2018-04-22,"Legislative",NA,13,33,953,907,907,NA,397,"ANR",227,"PLRA",57,"FG",51,"PPQ",22,"MPIP",19,"PEN",16,"PVP",14,"PDP",12,"PRF",12,"PPH",12,"CN",11,"MRP",7,"MUTPY",6,"PDC",6,"UNAMONOS",5,"UNACE",5,"P_MAS",5,"PJ",4,"MUI",3,"MCC",3,"MNAP",3,"MSPY",3,"PDA",2,"AP",2,"SN",1,"PFA",1,"PSDH",1,"PAS",0,"PMPP","ANR",397
"Spain","ESP","Paraguay","PRY",2018-04-22,"Legislative",NA,40,48,2081,1993,1993,NA,667,"PLRA",450,"ANR",122,"FG",105,"MPIP",102,"CN",94,"PVP",64,"PEN",52,"PPQ",46,"UNAMONOS",37,"UNACE",25,"PRF",23,"MUI",21,"MRP",21,"PDP",18,"PPH",16,"PDC",16,"AP",15,"MSPY",14,"MUTPY",13,"MNAP",12,"PJ",12,"SN",11,"PMPP",9,"P_MAS",8,"PAS",7,"PFA",5,"PDA",4,"MCC",4,"PSDH","ANR",450
"Argentina","ARG","Paraguay","PRY",2013-04-21,"Legislative",NA,153,344,6171,5674,5674,NA,2055,"PLRA",1936,"ANR",1005,"FG",172,"AP",112,"UNACE",90,"PPQ",65,"MKP",51,"PL",24,"PEN",24,"PSD",23,"PDP",21,"PEA",20,"UDV",18,"PJ",16,"X30_A",15,"PB",14,"PPL",12,"MICA",1,"MII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",1936
"US","USA","Paraguay","PRY",2013-04-21,"Legislative",NA,7,28,1187,1152,1152,NA,560,"ANR",352,"PLRA",64,"FG",38,"PPQ",34,"AP",23,"MKP",15,"PEN",15,"PDP",11,"PSD",9,"UNACE",7,"UDV",6,"PJ",4,"MICA",3,"PEA",3,"PL",3,"PPL",2,"PB",2,"X30_A",1,"MII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",560
"Spain","ESP","Paraguay","PRY",2013-04-21,"Legislative",NA,35,30,1659,1594,1594,NA,601,"PLRA",539,"ANR",90,"UNACE",87,"FG",76,"AP",47,"MKP",45,"PPQ",36,"PDP",23,"PJ",11,"PEN",9,"PEA",8,"PSD",7,"PB",7,"PL",3,"MICA",2,"UDV",2,"PPL",1,"MII",0,"X30_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",539
"Argentina","ARG","Paraguay","PRY",2018-04-22,"Presidential",NA,150,236,5163,4777,4777,NA,2855,"GANAR",1693,"ANR",60,"PVP",33,"SN",30,"PFA",30,"MNAP",26,"UNAMONOS",18,"PMPP",16,"MRP",16,"PSDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",1693
"Brazil","BRA","Paraguay","PRY",2018-04-22,"Presidential",NA,4,0,120,116,116,NA,66,"GANAR",45,"ANR",3,"PVP",1,"PFA",1,"MNAP",0,"SN",0,"MRP",0,"PSDH",0,"PMPP",0,"UNAMONOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",45
"US","USA","Paraguay","PRY",2018-04-22,"Presidential",NA,16,10,956,930,930,NA,515,"ANR",372,"GANAR",25,"PVP",5,"UNAMONOS",3,"PFA",3,"MNAP",2,"SN",2,"PSDH",2,"PMPP",1,"MRP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",515
"Spain","ESP","Paraguay","PRY",2018-04-22,"Presidential",NA,43,28,2104,2033,2033,NA,1151,"GANAR",596,"ANR",159,"PVP",31,"SN",25,"MNAP",22,"UNAMONOS",19,"PMPP",15,"PFA",11,"MRP",4,"PSDH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",596
"Argentina","ARG","Paraguay","PRY",2013-04-21,"Presidential",NA,164,253,6166,5749,5749,NA,2264,"PA",2094,"ANR",803,"FG",327,"AP",73,"PPQ",58,"UNACE",40,"PHP",37,"PT",22,"PB",20,"MKP",11,"PPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",2094
"US","USA","Paraguay","PRY",2013-04-21,"Presidential",NA,10,17,1187,1160,1160,NA,632,"ANR",421,"PA",62,"AP",19,"FG",9,"PPQ",8,"MKP",4,"UNACE",2,"PHP",2,"PT",1,"PB",0,"PPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",632
"Spain","ESP","Paraguay","PRY",2013-04-21,"Presidential",NA,39,28,1660,1593,1593,NA,721,"PA",610,"ANR",156,"AP",28,"FG",27,"PPQ",26,"UNACE",16,"MKP",4,"PB",4,"PT",1,"PHP",0,"PPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANR",610
"Austria","AUT","Moldova","MDA",2019-02-24,"Legislative",470,NA,NA,470,460,460,10,351,"Blocul electoral ACUM Platforma DA ?i PAS",32,"Partidul Politic Partidul Socialistilor din Republica Moldova",28,"Partidul Democrat din Moldova",15,"Partidul politic~Partidul Nostru",9,"Partidul Politic Miscarea Populara Antimafie",8,"Partidul Liberal",7,"Partidul Comunistilor din Republica Moldova",5,"Partidul Politic Partidul Verde Ecologist",3,"Partidul National Liberal",2,"Partidul Politic Democratia Acasa",0,"Partidul Politic ?or",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",32
"Azerbaijan","AZE","Moldova","MDA",2019-02-24,"Legislative",19,NA,NA,19,19,19,0,6,"Blocul electoral ACUM Platforma DA ?i PAS",6,"Partidul Politic Partidul Socialistilor din Republica Moldova",3,"Partidul Democrat din Moldova",1,"Partidul Comunistilor din Republica Moldova",1,"Partidul Politic Miscarea Populara Antimafie",1,"Partidul National Liberal",1,"Partidul Politic Partidul Verde Ecologist",0,"Partidul Politic ?or",0,"Partidul politic~Partidul Nostru",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Liberal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",6
"Belarus","BLR","Moldova","MDA",2019-02-24,"Legislative",91,NA,NA,91,88,88,3,55,"Partidul Politic Partidul Socialistilor din Republica Moldova",17,"Blocul electoral ACUM Platforma DA ?i PAS",10,"Partidul Democrat din Moldova",2,"Partidul Comunistilor din Republica Moldova",1,"Partidul Politic ?or",1,"Partidul Politic Miscarea Populara Antimafie",1,"Partidul Politic VOIN?A POPORULUI",1,"Miscarea Profesionistilor Speranta-???????",0,"Partidul politic~Partidul Nostru",0,"Partidul National Liberal",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",0,"Partidul Liberal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",55
"Belgium","BEL","Moldova","MDA",2019-02-24,"Legislative",1471,NA,NA,1471,1435,1435,36,1155,"Blocul electoral ACUM Platforma DA ?i PAS",60,"Partidul Democrat din Moldova",53,"Partidul Politic Partidul Socialistilor din Republica Moldova",46,"Partidul Politic ?or",40,"Partidul Liberal",23,"Partidul politic~Partidul Nostru",20,"Partidul Politic Miscarea Populara Antimafie",13,"Partidul Comunistilor din Republica Moldova",9,"Partidul National Liberal",9,"Partidul Politic Democratia Acasa",2,"Miscarea Profesionistilor Speranta-???????",2,"Partidul Politic Partidul Verde Ecologist",1,"Partidul Politic VOIN?A POPORULUI",1,"Partidul Regiunilor din Moldova",1,"Partidul Politic PATRIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",53
"Bulgaria","BGR","Moldova","MDA",2019-02-24,"Legislative",133,NA,NA,133,132,132,1,53,"Blocul electoral ACUM Platforma DA ?i PAS",41,"Partidul Politic Partidul Socialistilor din Republica Moldova",16,"Partidul Comunistilor din Republica Moldova",12,"Partidul Democrat din Moldova",4,"Partidul Politic Miscarea Populara Antimafie",2,"Partidul politic~Partidul Nostru",2,"Partidul Liberal",1,"Partidul Politic ?or",1,"Partidul Politic Democratia Acasa",0,"Partidul National Liberal",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",41
"Canada","CAN","Moldova","MDA",2019-02-24,"Legislative",304,NA,NA,304,302,302,2,272,"Blocul electoral ACUM Platforma DA ?i PAS",9,"Partidul Liberal",6,"Partidul Politic Partidul Socialistilor din Republica Moldova",4,"Partidul Politic Democratia Acasa",3,"Partidul Democrat din Moldova",2,"Partidul Politic Miscarea Populara Antimafie",2,"Partidul National Liberal",1,"Partidul Comunistilor din Republica Moldova",1,"Partidul Politic ?or",1,"Partidul politic~Partidul Nostru",1,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",6
"China","CHN","Moldova","MDA",2019-02-24,"Legislative",21,NA,NA,21,21,21,0,9,"Blocul electoral ACUM Platforma DA ?i PAS",8,"Partidul Democrat din Moldova",3,"Partidul Politic Partidul Socialistilor din Republica Moldova",1,"Partidul Politic ?or",0,"Partidul Comunistilor din Republica Moldova",0,"Partidul Politic Miscarea Populara Antimafie",0,"Partidul politic~Partidul Nostru",0,"Partidul National Liberal",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",0,"Partidul Liberal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",3
"Croatia","HRV","Moldova","MDA",2019-02-24,"Legislative",9,NA,NA,9,9,9,0,7,"Blocul electoral ACUM Platforma DA ?i PAS",1,"Partidul Politic Partidul Socialistilor din Republica Moldova",1,"Partidul Politic Miscarea Populara Antimafie",0,"Partidul Democrat din Moldova",0,"Partidul Comunistilor din Republica Moldova",0,"Partidul Politic ?or",0,"Partidul politic~Partidul Nostru",0,"Partidul National Liberal",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",0,"Partidul Liberal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",1
"Czechia","CZE","Moldova","MDA",2019-02-24,"Legislative",803,NA,NA,803,785,785,18,483,"Blocul electoral ACUM Platforma DA ?i PAS",88,"Partidul Politic ?or",63,"Partidul Politic Partidul Socialistilor din Republica Moldova",61,"Partidul Democrat din Moldova",28,"Partidul politic~Partidul Nostru",20,"Partidul Politic Miscarea Populara Antimafie",17,"Partidul Liberal",10,"Partidul Comunistilor din Republica Moldova",5,"Partidul Politic Partidul Verde Ecologist",3,"Partidul National Liberal",3,"Partidul Regiunilor din Moldova",3,"Partidul Politic Democratia Acasa",1,"Partidul Politic PATRIA",0,"Partidul Politic VOIN?A POPORULUI",0,"Miscarea Profesionistilor Speranta-???????",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",63
"Estonia","EST","Moldova","MDA",2019-02-24,"Legislative",90,NA,NA,90,86,86,4,50,"Blocul electoral ACUM Platforma DA ?i PAS",9,"Partidul Politic Partidul Socialistilor din Republica Moldova",8,"Partidul Democrat din Moldova",6,"Partidul politic~Partidul Nostru",4,"Partidul Comunistilor din Republica Moldova",4,"Partidul Politic Miscarea Populara Antimafie",3,"Partidul Liberal",2,"Partidul Politic Democratia Acasa",0,"Partidul Politic ?or",0,"Partidul National Liberal",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",9
"France","FRA","Moldova","MDA",2019-02-24,"Legislative",5989,NA,NA,5985,5793,5793,192,4495,"Blocul electoral ACUM Platforma DA ?i PAS",239,"Partidul Liberal",205,"Partidul Politic ?or",202,"Partidul Democrat din Moldova",168,"Partidul politic~Partidul Nostru",162,"Partidul Politic Partidul Socialistilor din Republica Moldova",120,"Partidul Politic Miscarea Populara Antimafie",105,"Partidul Comunistilor din Republica Moldova",32,"Partidul Politic Democratia Acasa",31,"Partidul National Liberal",11,"Partidul Politic VOIN?A POPORULUI",10,"Partidul Politic Partidul Verde Ecologist",5,"Miscarea Profesionistilor Speranta-???????",4,"Partidul Regiunilor din Moldova",4,"Partidul Politic PATRIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",162
"Georgia","GEO","Moldova","MDA",2019-02-24,"Legislative",18,NA,NA,18,18,18,0,10,"Blocul electoral ACUM Platforma DA ?i PAS",3,"Partidul Democrat din Moldova",2,"Partidul Politic Partidul Socialistilor din Republica Moldova",2,"Partidul politic~Partidul Nostru",1,"Partidul Comunistilor din Republica Moldova",0,"Partidul Politic ?or",0,"Partidul Politic Miscarea Populara Antimafie",0,"Partidul National Liberal",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",0,"Partidul Liberal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",2
"Germany","DEU","Moldova","MDA",2019-02-24,"Legislative",3221,NA,NA,3218,3125,3125,93,2537,"Blocul electoral ACUM Platforma DA ?i PAS",111,"Partidul Democrat din Moldova",107,"Partidul Politic Partidul Socialistilor din Republica Moldova",89,"Partidul politic~Partidul Nostru",72,"Partidul Liberal",55,"Partidul Comunistilor din Republica Moldova",52,"Partidul Politic ?or",50,"Partidul Politic Miscarea Populara Antimafie",19,"Partidul Politic Democratia Acasa",13,"Partidul National Liberal",7,"Partidul Politic Partidul Verde Ecologist",6,"Partidul Politic VOIN?A POPORULUI",4,"Partidul Politic PATRIA",2,"Miscarea Profesionistilor Speranta-???????",1,"Partidul Regiunilor din Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",107
"Greece","GRC","Moldova","MDA",2019-02-24,"Legislative",909,NA,NA,907,868,868,39,564,"Blocul electoral ACUM Platforma DA ?i PAS",102,"Partidul Politic Partidul Socialistilor din Republica Moldova",74,"Partidul Democrat din Moldova",27,"Partidul Politic ?or",20,"Partidul Liberal",15,"Partidul politic~Partidul Nostru",15,"Partidul National Liberal",14,"Partidul Comunistilor din Republica Moldova",14,"Partidul Politic Miscarea Populara Antimafie",11,"Partidul Politic PATRIA",4,"Partidul Politic Democratia Acasa",3,"Partidul Politic VOIN?A POPORULUI",3,"Partidul Politic Partidul Verde Ecologist",1,"Partidul Regiunilor din Moldova",1,"Miscarea Profesionistilor Speranta-???????",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",102
"Hungary","HUN","Moldova","MDA",2019-02-24,"Legislative",137,NA,NA,137,136,136,1,79,"Blocul electoral ACUM Platforma DA ?i PAS",19,"Partidul Democrat din Moldova",17,"Partidul Politic Partidul Socialistilor din Republica Moldova",5,"Partidul Comunistilor din Republica Moldova",5,"Partidul Politic ?or",5,"Partidul Politic Miscarea Populara Antimafie",3,"Miscarea Profesionistilor Speranta-???????",1,"Partidul politic~Partidul Nostru",1,"Partidul Politic Partidul Verde Ecologist",1,"Partidul Liberal",0,"Partidul National Liberal",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Partidul Politic PATRIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",17
"Ireland","IRL","Moldova","MDA",2019-02-24,"Legislative",2693,NA,NA,2693,2632,2632,61,2349,"Blocul electoral ACUM Platforma DA ?i PAS",50,"Partidul Democrat din Moldova",50,"Partidul Politic Miscarea Populara Antimafie",44,"Partidul Liberal",38,"Partidul Politic Partidul Socialistilor din Republica Moldova",30,"Partidul politic~Partidul Nostru",25,"Partidul Comunistilor din Republica Moldova",14,"Partidul Politic ?or",12,"Partidul Politic Democratia Acasa",8,"Partidul National Liberal",4,"Miscarea Profesionistilor Speranta-???????",3,"Partidul Politic VOIN?A POPORULUI",3,"Partidul Politic Partidul Verde Ecologist",2,"Partidul Regiunilor din Moldova",0,"Partidul Politic PATRIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",38
"Israel","ISR","Moldova","MDA",2019-02-24,"Legislative",1943,NA,NA,1943,1899,1899,44,1219,"Blocul electoral ACUM Platforma DA ?i PAS",185,"Partidul Politic Partidul Socialistilor din Republica Moldova",119,"Partidul Democrat din Moldova",115,"Partidul politic~Partidul Nostru",94,"Partidul Comunistilor din Republica Moldova",93,"Partidul Politic ?or",22,"Partidul Politic Miscarea Populara Antimafie",20,"Partidul Liberal",16,"Partidul Politic Democratia Acasa",6,"Partidul Politic VOIN?A POPORULUI",4,"Partidul National Liberal",3,"Partidul Regiunilor din Moldova",2,"Partidul Politic Partidul Verde Ecologist",1,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",185
"Italy","ITA","Moldova","MDA",2019-02-24,"Legislative",27900,NA,NA,27890,26879,26879,1011,20699,"Blocul electoral ACUM Platforma DA ?i PAS",1341,"Partidul Democrat din Moldova",1334,"Partidul Politic Partidul Socialistilor din Republica Moldova",842,"Partidul Liberal",638,"Partidul Politic ?or",563,"Partidul politic~Partidul Nostru",506,"Partidul Politic Miscarea Populara Antimafie",375,"Partidul Comunistilor din Republica Moldova",195,"Partidul Politic Democratia Acasa",162,"Partidul National Liberal",85,"Partidul Politic Partidul Verde Ecologist",66,"Partidul Politic VOIN?A POPORULUI",29,"Miscarea Profesionistilor Speranta-???????",25,"Partidul Politic PATRIA",19,"Partidul Regiunilor din Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",1334
"Japan","JPN","Moldova","MDA",2019-02-24,"Legislative",24,NA,NA,24,24,24,0,16,"Blocul electoral ACUM Platforma DA ?i PAS",5,"Partidul Democrat din Moldova",2,"Partidul Liberal",1,"Partidul politic~Partidul Nostru",0,"Partidul Comunistilor din Republica Moldova",0,"Partidul Politic Partidul Socialistilor din Republica Moldova",0,"Partidul Politic ?or",0,"Partidul Politic Miscarea Populara Antimafie",0,"Partidul National Liberal",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",0
"Latvia","LVA","Moldova","MDA",2019-02-24,"Legislative",59,NA,NA,59,58,58,1,39,"Blocul electoral ACUM Platforma DA ?i PAS",6,"Partidul Democrat din Moldova",4,"Partidul Politic Partidul Socialistilor din Republica Moldova",3,"Partidul Politic ?or",2,"Partidul Comunistilor din Republica Moldova",2,"Partidul Liberal",1,"Partidul politic~Partidul Nostru",1,"Partidul National Liberal",0,"Partidul Politic Miscarea Populara Antimafie",0,"Partidul Politic VOIN?A POPORULUI",0,"Partidul Regiunilor din Moldova",0,"Partidul Politic Democratia Acasa",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",4
"Lithuania","LTU","Moldova","MDA",2019-02-24,"Legislative",52,NA,NA,52,52,52,0,30,"Blocul electoral ACUM Platforma DA ?i PAS",7,"Partidul Politic Partidul Socialistilor din Republica Moldova",5,"Partidul Democrat din Moldova",4,"Partidul Comunistilor din Republica Moldova",2,"Partidul Politic ?or",1,"Partidul Politic Miscarea Populara Antimafie",1,"Partidul National Liberal",1,"Partidul Politic VOIN?A POPORULUI",1,"Partidul Politic Democratia Acasa",0,"Partidul politic~Partidul Nostru",0,"Partidul Regiunilor din Moldova",0,"Miscarea Profesionistilor Speranta-???????",0,"Partidul Politic PATRIA",0,"Partidul Politic Partidul Verde Ecologist",0,"Partidul Liberal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partidul Politic Partidul Socialistilor din Republica Moldova",7
